Áreas/Cursos;Mat. Sem. 1 M;Mat. Sem. 1 F;Mat. Sem. 1 Total;Mat. Sem. 2 M;Mat. Sem. 2F;Mat. Sem. 2 Total;Dip. Sem. 1 M;Dip. Sem. 1 F;Dip. Sem. 1 Total;Dip. Sem. 2 M;Dip. Sem. 2F;Dip. Sem. 2 Total;Ano
 AGRONOMIA;146;111;257;0;0;0;0;0;0;0;0;0;2024
 MOBILIDADE ACADÊMICA - PROMOVER;0;0;0;0;0;0;0;0;0;0;0;0;2024
 CIÊNCIAS BIOLÓGICAS;46;83;129;0;0;0;0;1;1;0;0;0;2024
 EDUCAÇÃO FÍSICA;117;54;171;0;0;0;0;0;0;0;0;0;2024
 CIÊNCIA DA COMPUTAÇÃO;184;55;239;0;0;0;0;0;0;0;0;0;2024
 ENGENHARIA DE ALIMENTOS;32;111;143;0;0;0;0;0;0;0;0;0;2024
 FÍSICA;16;5;21;0;0;0;0;0;0;0;0;0;2024
 MATEMÁTICA;10;16;26;0;0;0;0;0;0;0;0;0;2024
 QUÍMICA;9;22;31;0;0;0;0;0;0;0;0;0;2024
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0;2024
 TECNOLOGIA EM GESTÃO AMBIENTAL;27;45;72;0;0;0;0;0;0;0;0;0;2024
 ADMINISTRAÇÃO;106;155;261;0;0;0;0;0;0;0;0;0;2024
 ESTUDANTE NÃO VINCULADO;0;0;0;0;0;0;0;0;0;0;0;0;2024
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;0;1;1;0;0;0;0;0;0;0;0;0;2024
 AGRONOMIA;136;107;243;130;98;228;9;8;17;6;8;14;2023
 MOBILIDADE ACADÊMICA - PROMOVER;0;0;0;0;0;0;0;0;0;0;0;0;2023
 CIÊNCIAS BIOLÓGICAS;36;83;119;32;73;105;4;7;11;1;4;5;2023
 EDUCAÇÃO FÍSICA;115;53;168;104;49;153;7;4;11;5;2;7;2023
 CIÊNCIA DA COMPUTAÇÃO;185;43;228;171;42;213;8;1;9;18;2;20;2023
 ENGENHARIA DE ALIMENTOS;44;122;166;36;106;142;0;3;3;2;3;5;2023
 FÍSICA;23;9;32;15;7;22;3;0;3;2;2;4;2023
